tests/repo/sanity/hello.xe66e ...
version = 0x1, machine = 0x8c, nSects = 0x22, magic = 0x7fELF
: base = 0x0, size = 0x0 (0)
.bss: base = 0x0, size = 0x0 (0)
.neardata: base = 0x0, size = 0x0 (0)
.rodata: base = 0x0, size = 0x0 (0)
xdc.meta: base = 0x800000, size = 0x118 (280)
.ti.decompress: base = 0x0, size = 0x0 (0)
.sysmem: base = 0x806e20, size = 0x1000 (4096)
.pinit: base = 0x0, size = 0x0 (0)
.cinit: base = 0x8085e8, size = 0xa4 (164)
.ti.handler_table: base = 0x0, size = 0x0 (0)
.args: base = 0x807ffc, size = 0x200 (512)
.switch: base = 0x0, size = 0x0 (0)
.data: base = 0x0, size = 0x0 (0)
.stack: base = 0x805e20, size = 0x1000 (4096)
.init_array: base = 0x0, size = 0x0 (0)
.debug_info: base = 0x0, size = 0x124ff (75007)
.debug_line: base = 0x0, size = 0x31d9 (12761)
.debug_abbrev: base = 0x0, size = 0x40a1 (16545)
.debug_pubnames: base = 0x0, size = 0xc7c (3196)
.debug_aranges: base = 0x0, size = 0x9c0 (2496)
.debug_str: base = 0x0, size = 0x666d (26221)
.debug_pubtypes: base = 0x0, size = 0x4ca5 (19621)
.cio: base = 0x8084c8, size = 0x120 (288)
.text: base = 0x800000, size = 0x5e20 (24096)
.far.1: base = 0x808200, size = 0xd8 (216)
.far.2: base = 0x8082e0, size = 0xa0 (160)
.fardata: base = 0x807e20, size = 0x1dc (476)
.const.1: base = 0x808380, size = 0x127 (295)
.const.2: base = 0x8084b0, size = 0x18 (24)
.c6xabi.attributes: base = 0x0, size = 0x42 (66)
.symtab: base = 0x0, size = 0x56d0 (22224)
.TI.section.flags: base = 0x0, size = 0x32 (50)
.strtab: base = 0x0, size = 0x141d (5149)
.shstrtab: base = 0x0, size = 0x152 (338)
this is a test
can't find string at 0x008084b0 within the .rodata section
Error: can't find string at 0x008084b0 within the .const section
